Constituency, ID
1,Grand River North West and Port Louis West
2,Port Louis South and Port Louis Central
3,Port Louis Maritime and Port Louis East
4,Port Louis North and Montagne Longue
5,Pamplemousses and Triolet
6,Grand Baie and Poudre d'Or
7,Piton and Riviere du Rempart
8,Quartier Militaire and Moka
9,Flacq and Bon Acceuil
10,Montagne Blanche and Grand River South East
11,Vieux Grand Port and Rose Belle
12,Mahebourg and Plaine Magnien
13,Riviere des Anguilles and Souillac
14,Savanne and Black River
15,La Caverne and Phoenix
16,Vacoas and Floreal
17,Curepipe and Midlands
18,Belle Rose and Quatre Bornes
19,Stanley and Rose Hill
20,Beau Bassin and Petite Riviere
21,Rodrigues
