Name,First Name,Title,Constituency,Bio, Party
ARMANCE,Patrice Kursley,First Member for GRNW & Port Louis West,1,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Armance-Patrice-Kursley.aspx,PMSD
SELVON,Marie Danielle,Second Member for GRNW & Port Louis West,1,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Selvon-Marie-Danielle.aspx,MSM
BALOOMOODY,Vedasingam Vasudevachariar,Third Member for GRNW & Port Louis West,1,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Baloomoody-Vedasingam-Vasudevachariar.aspx,MMM
UTEEM,Muhammad Reza Cassam,First Member for Port Louis South & Port Louis Central,2,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Uteem-Muhammad-Reza-Cassam-.aspx,MMM
JADOO-JAUNBOCUS,Roubina,Second Member for Port Louis South & Port Louis Central,2,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Jadoo-Jaunbocus-Roubina.aspx,MSM
MAHOMED,Mahomed Osman Cassam,Third Member for Port Louis South & Port Louis Central,2,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Mahomed-Osman-Cassam.aspx,PTr
MOHAMED,Shakeel Ahmed Yousuf Abdul Razack,First Member for Port Louis Maritime and Port Louis East,3,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Mohamed-Shakeel-Ahmed-Yousuf-Abdul-Razack.aspx,PTr
AMEER MEEA,Sayed Muhammad Aadil,Second Member for Port Louis Maritime & Port Louis East,3,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Ameer-Meea-S--Muhammad-Aadil.aspx,MMM
HUSNOO,Mohammad Anwar,,3,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Husnoo-Mohammad-Anwar.aspx,MSM
PERRAUD,Marie-Aurore Marie-Joyce,,4,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Perraud-(Mrs)-Marie-Aurore-Marie-Joyce.aspx,PMSD
OREE,Gowkaran,Second Member for Port Louis North & Montagne Longue,4,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Oree-Gowkaran.aspx,MSM
MONTY,Marie Claire Jeanne,Third Member for Port Louis North & Montagne Longue,4,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Monty-Marie-Claire-Jeanne.aspx,MSM
CALLICHURN,Soodesh Satkam,,5,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Soodesh-Satkam-Callichurn.aspx,MSM
TEELUCKDHARRY,Kalidass,Second Member for Pamplemousses & Triolet,5,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Teeluckdhary-Kalidass.aspx,MSM
